"1120840530714353665^'anticipating the unknowns:  cisco ciso benchmark study'^2019-04-24^00:03:01^1744"
"1120840594186747909^'a severe thunderstorm warning has been issued for eastland county  including cisco  eastland  ranger and others the main threat with this storm is wind gusts as high as  mph at times'^2019-04-24^00:03:16^194"
"1120840626508042241^'rt : severe thunderstorm warning including eastland tx  cisco tx  ranger tx until : pm cdt'^2019-04-24^00:03:24^1070"
"1120840652898611200^'rt : pm:  mph wind gust measured at the airport in eastland storm is about to impact ranger hill and is moving northea'^2019-04-24^00:03:30^225"
"1120840795291029504^'barry -she's working with the man who murdered my mother sent my father to prison killed your fiance caitlin's fiance&amp; killed cisco onceshe's *still* working with him iw -does it really matter??? theflash'^2019-04-24^00:04:04^167"
"1120840806632263680^'solutions architect - cisco enterprise networking (ccnp  ccie) - f/t top tier cisco gold partner - dallas / dfw'^2019-04-24^00:04:07^542"
"1120841402450104320^'a company culture that encourages creating a positive impact in the world  and the thousands of people like that are % committed to making it happen undeniably the two best parts about working  wearecisco lovewhereyouwork'^2019-04-24^00:06:29^497"
"1120841581265920000^'rt : what is teamdevnet up to? business tech creativity '^2019-04-24^00:07:11^128"
"1120841648114675716^'so cisco isn't in this episode?slightly frowning face theflash'^2019-04-24^00:07:27^76"
"1120841682688315393^'and now we explain to barry who's sitting it out this week cecile abs cisco will return some other time theflash'^2019-04-24^00:07:36^1192"
"1120841697582374912^'anticipating the unknowns:  cisco ciso benchmark study'^2019-04-24^00:07:39^35"
"1120841764187901952^'and now we explain to barry who's sitting it out this week cecile and cisco will return some other time theflash'^2019-04-24^00:07:55^1192"
"1120841794000912384^'does this mean another episode without cisco :( theflash'^2019-04-24^00:08:02^356"
"1120841803610120192^'so is cisco not in the ep? theflash'^2019-04-24^00:08:04^1591"
"1120841868936220672^'rt : so is cisco not in the ep? theflash'^2019-04-24^00:08:20^324"
"1120841874355490818^'so cisco isn't in this episode either? theflash lwglivewatch'^2019-04-24^00:08:21^245"
"1120841929372180480^'another episode without cisco theflash'^2019-04-24^00:08:34^43"
"1120841938058526720^'rt : just a week away from the wifi launch excited to learn more about how this solution will change the customerexpe'^2019-04-24^00:08:36^104"
