"1127726131686379525^'rt :  calls out ""weak"" richard burr and the senate intel committee: ""they want back to keep this h'^2019-05-13^00:03:56^10227"
"1127726138682425345^'rt : in late october   the fbi used the steele dossier to get a secret warrant to spy on the trump campaign even though as'^2019-05-13^00:03:58^84"
"1127726144344739847^'rt : breaking: trump says he was ""spied"" on by ""intel agencies"" ""democrats"" he wasn't spied on--he was investigated if he didn't'^2019-05-13^00:03:59^51"
"1127726146425167872^'rt : breaking: trump says he was ""spied"" on by ""intel agencies"" ""democrats"" he wasn't spied on--he was investigated if he didn't'^2019-05-13^00:04:00^3277"
"1127726183431405569^'rt : speaking to reporters just now calls for an end to the senate intel investigation as we've heard from '^2019-05-13^00:04:08^97"
"1127726188460306432^'rt : hoax my campaign was being seriously spied upon by intel agencies and the democrats this never happened before i'^2019-05-13^00:04:10^2"
"1127726243070337024^'rt : q-haterz fail logics they wait for the 'one' sign that will convince them q is legit had you rather have one $'^2019-05-13^00:04:23^1436"
"1127726250116538369^'rt : i gotta laugh at the optics of joe biden's son benefiting financially from ukrainian apocalyptic corr'^2019-05-13^00:04:24^1591"
"1127726260849860615^'rt :  calls out ""weak"" richard burr and the senate intel committee: ""they want back to keep this h'^2019-05-13^00:04:27^2739"
"1127726264750444544^'trump holds all cardsit doesn't matter which side the lawyers are oneverything about the takedown  is now knownadd mi/mi italian intel and double agents in russian fsb/gruand russian oligarch's who work for cia/mito those listed belowit ends in a bloodbath'^2019-05-13^00:04:28^932"
"1127726267116056576^'rt : hoax my campaign was being seriously spied upon by intel agencies and the democrats this never happened before i'^2019-05-13^00:04:28^905"
"1127726276180086784^'rt : sens burr and warner claim the intel committee is ""bi-partisan"" really? you're persecuting but are y'^2019-05-13^00:04:31^370"
"1127726276867805184^'rt :  russia attacked american democracy  intelligence agencies tried to protect it  they determined that the kremlin or'^2019-05-13^00:04:31^40"
"1127726292252614656^'rt : in late october   the fbi used the steele dossier to get a secret warrant to spy on the trump campaign even though as'^2019-05-13^00:04:34^1810"
"1127726298866958336^'rt :  calls out ""weak"" richard burr and the senate intel committee: ""they want back to keep this h'^2019-05-13^00:04:36^25787"
"1127726303459725312^'rt : hoax my campaign was being seriously spied upon by intel agencies and the democrats this never happened before i'^2019-05-13^00:04:37^3"
"1127726305498292224^'rt : hard to justify senate subpoena of  after two years of investigations by mueller  senate house as well a'^2019-05-13^00:04:38^1178"
"1127726313928785920^'rt : boy can we tell how guilty you are you cant help yourself but scream out that you did it  youre guilty and you are telli'^2019-05-13^00:04:40^2947"
"1127726314503454720^'parinoid much? trumpcrimes'^2019-05-13^00:04:40^978"
"1127726317980536833^'rt : hoax my campaign was being seriously spied upon by intel agencies and the democrats this never happened before i'^2019-05-13^00:04:41^1688"
