"1120115748310069251^'cisco switches are trans?'^2019-04-22^00:02:59^1711"
"1120116029521190912^'solutions architect - cisco enterprise networking (ccnp  ccie) - f/t top tier cisco gold partner - dallas / dfw'^2019-04-22^00:04:06^541"
"1120116108646707202^'rt : python skills and techniques for network engineers  part  cisco devnet video series netdevops'^2019-04-22^00:04:25^7"
"1120116396627722240^'rt : not all cloud security solutions are created equal find out what makes cisco umbrella unique: h'^2019-04-22^00:05:34^78"
"1120116411928498176^'rt : looking for answers read a new chronicles of cisco: theflash'^2019-04-22^00:05:38^394"
"1120117060485435392^'rt : python skills and techniques for network engineers  part  cisco devnet video series netdevops'^2019-04-22^00:08:12^5"
"1120117139124277249^'damn  haven't heard cisco in a while instant headache just thinking about it'^2019-04-22^00:08:31^269"
"1120117440652947456^'rolling on the floor laughingrolling on the floor laughingrolling on the floor laughingrolling on the floor laughing i did that to my best friend'^2019-04-22^00:09:43^17"
"1120118043521294337^'barry have you seen cisco'^2019-04-22^00:12:07^2091"
"1120118138849382400^'rt : here's my tdmerakichallenge entry i am abubakar sadiq ceo of abubakar enterprise meraki is a cloud managed it inf'^2019-04-22^00:12:29^17386"
"1120118170680004609^'leveraging g wifi for the best customer experience learn how cisco helped at the boston marathon bridgetopossible cisco cx'^2019-04-22^00:12:37^280"
"1120119028536811520^'rt : python skills and techniques for network engineers  part  cisco devnet video series netdevops'^2019-04-22^00:16:01^183"
"1120119388286226432^'i just registered for cisco live and entered to win a back stage pass to meet the band join me! clus'^2019-04-22^00:17:27^1024"
"1120119612971024386^'rt : genie makes all your network automation wishes come true! hank preston explains youtube video: '^2019-04-22^00:18:21^77"
"1120119709540737026^'rt : genie makes all your network automation wishes come true! hank preston explains youtube video: '^2019-04-22^00:18:44^4815"
"1120119710765527045^'sweet! you'll find us but we're all going to the cisco store at noon on tuesday for an official book signing come see us!'^2019-04-22^00:18:44^1454"
"1120119763420819458^'cisco come here dude you have another kid man'^2019-04-22^00:18:57^967"
"1120120067587334144^'i agree but not cisco  i trade ralph for him'^2019-04-22^00:20:09^422"
"1120120106611347458^'rt : i just registered for cisco live and entered to win a back stage pass to meet the band join me! clus'^2019-04-22^00:20:18^8478"
"1120120154367696897^'rt : looking for answers read a new chronicles of cisco: theflash'^2019-04-22^00:20:30^21"
"1120120162819158016^'rt : cisco is leading the way for software-centric networking follow us to stay updated with our latest offerings'^2019-04-22^00:20:32^168"
"1120120178195476481^'i am not his kid allen'^2019-04-22^00:20:35^2091"
"1120120314237575168^'rt : eric yuan is rad: -spent  years applying for a visa to get to the us -started zoom at  after  years at webex and pulled in'^2019-04-22^00:21:08^3959"
"1120120356348596224^'cisco's team was on point too'^2019-04-22^00:21:18^8517"
"1120120497570709504^'rt : cisco has an opening for a security cse bonus: you'll be on the same team as the awesome '^2019-04-22^00:21:52^1454"
"1120120514058436609^'rt : looking for answers read a new chronicles of cisco: theflash'^2019-04-22^00:21:56^436"
