"1123739713184120832^'the next phase of co-innovation - cisco and google cloud'^2019-05-02^00:03:20^31"
"1123739718204706816^'see  act  extend the physical world with cisco dna spaces'^2019-05-02^00:03:21^31"
"1123739846269444097^'the unelected leaders of extinction rebellion are capitalist corporatists looking to sell off the last resources of the earth to the corporations that have destroyed the earth and whom they serve  do you support this?'^2019-05-02^00:03:52^261"
"1123739896294912001^'solutions architect - cisco enterprise networking (ccnp  ccie) - f/t top tier cisco gold partner - dallas / dfw'^2019-05-02^00:04:04^538"
"1123740093393571840^'a hidden backdoor has been found in networking equipment that can give government agents administrative control  allowing them to spy on businesses and carriers this bombshell vulnerability was discovered by german researchers huawei again? no - cisco'^2019-05-02^00:04:51^90877"
"1123740143913963520^'the next phase of co-innovation - cisco and google cloud'^2019-05-02^00:05:03^764"
"1123740147042988032^'rt : a hidden backdoor has been found in networking equipment that can give government agents administrative control  allowing'^2019-05-02^00:05:03^464"
"1123740149630865414^'see  act  extend the physical world with cisco dna spaces'^2019-05-02^00:05:04^764"
"1123740168022896641^'announcing duo's mfa for cisco's firepower threat defense (ftd)'^2019-05-02^00:05:08^764"
"1123740222456516609^'rt : a hidden backdoor has been found in networking equipment that can give government agents administrative control  allowing'^2019-05-02^00:05:21^1012"
"1123740234284453889^'announcing duo's mfa for cisco's firepower threat defense (ftd)'^2019-05-02^00:05:24^277"
"1123740240781414401^'announcing duo's mfa for cisco's firepower threat defense (ftd)'^2019-05-02^00:05:26^277"
"1123740298167902208^'rt : closing latam cisco partner executive exchange  in napa  thanks for your partnership and valuable feedback! '^2019-05-02^00:05:39^816"
"1123740308158787585^'rt : a hidden backdoor has been found in networking equipment that can give government agents administrative control  allowing'^2019-05-02^00:05:42^809"
"1123740331231588356^'rt : a hidden backdoor has been found in networking equipment that can give government agents administrative control  allowing'^2019-05-02^00:05:47^124"
"1123740352266035207^'announcing duo's mfa for cisco's firepower threat defense (ftd)'^2019-05-02^00:05:52^132"
"1123740423695097856^'announcing duo's mfa for cisco's firepower threat defense (ftd)'^2019-05-02^00:06:09^33"
"1123740499762929671^'why trust cisco?'^2019-05-02^00:06:27^2"
"1123740526036041728^'how cisco built a security framework that rolls with the changes'^2019-05-02^00:06:34^2"
"1123740539990495232^'du'an lightfoot interviews cisco meraki's svp and gm todd nightingale'^2019-05-02^00:06:37^2"
"1123740550639886336^'do the activists in brighton know that the leaders of xr are capitalist corporatists who want to sell the earth last resources to the corporations that have destroyed this earth in the name of profit and whom they serve?'^2019-05-02^00:06:40^261"
"1123740558072123394^'rt : a hidden backdoor has been found in networking equipment that can give government agents administrative control  allowing'^2019-05-02^00:06:41^403"
"1123740567882608643^'cisco's john maynard on recent cybersecurity findings'^2019-05-02^00:06:44^2"
"1123740620403748864^'better: cisco security drives innovation  growth and empowers customers'^2019-05-02^00:06:56^942"
"1123740697079754754^'see  act  extend the physical world with cisco dna spaces'^2019-05-02^00:07:14^6"
"1123740729128509440^'rt : a hidden backdoor has been found in networking equipment that can give government agents administrative control  allowing'^2019-05-02^00:07:22^1260"
"1123740744857071618^'ah so packet tracer is worse than i thought nice'^2019-05-02^00:07:26^1221"
"1123740781846638593^'cisco issues critical security warning for nexus data-center switches'^2019-05-02^00:07:35^133"
