"1126638743178313728^'cisco open sources mindmeld conversational ai platform'^2019-05-10^00:03:02^28"
"1126638777965916161^'rt : parents and educators  please encourage your middle and hs students to register for this free conference we will have re'^2019-05-10^00:03:11^2314"
"1126638798866087937^'rt : year founded:  nokia  ericsson  ibm  motorola  samsung  hp  sony  comcast  intel '^2019-05-10^00:03:16^2335"
"1126638808030699521^'cisco lol'^2019-05-10^00:03:18^818"
"1126638931389362176^'rt : year founded:  nokia  ericsson  ibm  motorola  samsung  hp  sony  comcast  intel '^2019-05-10^00:03:47^2302"
"1126638987551084545^'rt : feb   i looked around a conference center of hundreds immediately felt defeated have you ever been in the middle of'^2019-05-10^00:04:01^1743"
"1126638988356354048^'have you heard the news? this year's cisco live celebration bands have been revealed! is sharing a sneak peek on his blog: clus'^2019-05-10^00:04:01^79966"
"1126638996547719168^'cisco open sources mindmeld conversational ai platform'^2019-05-10^00:04:03^169"
"1126638997353246720^'cisco open sources mindmeld conversational ai platform'^2019-05-10^00:04:03^9"
"1126638994018557952^'rt : yeah  the whole product line is pretty new personally  neither the mikrotik nor the quanta'^2019-05-10^00:04:02^3770"
"1126639011697545216^'solutions architect - cisco enterprise networking (ccnp  ccie) - f/t top tier cisco gold partner - dallas / dfw'^2019-05-10^00:04:06^540"
"1126639062335537153^'rt : year founded:  nokia  ericsson  ibm  motorola  samsung  hp  sony  comcast  intel '^2019-05-10^00:04:19^364"
"1126639095856488448^'congratulations!!!'^2019-05-10^00:04:27^11"
"1126639115208990726^'rt : find out how you can easily build and test conversational ai applications to realize game-changing transformations in the'^2019-05-10^00:04:31^106"
"1126639122611888128^'my twin omggggg i'm so happy for you xheavy black heart[?]'^2019-05-10^00:04:33^403"
"1126639204379680768^' is open-sourcing mindmeld conversational ai platform- a python-based machinelearning framework  along with step-by-step guide called the conversational ai playbook karthik raghunathan webexintelligence'^2019-05-10^00:04:52^2179"
"1126639260763815936^'lol md / and cisco lol'^2019-05-10^00:05:06^63"
"1126639277968850944^'cisco open sources mindmeld conversational ai platform'^2019-05-10^00:05:10^5249"
"1126639322579521536^'cisco open sources mindmeld conversational ai platform'^2019-05-10^00:05:21^67"
"1126639386706235393^'rt : year founded:  nokia  ericsson  ibm  motorola  samsung  hp  sony  comcast  intel '^2019-05-10^00:05:36^310"
"1126639398429306880^'rt : year founded:  nokia  ericsson  ibm  motorola  samsung  hp  sony  comcast  intel '^2019-05-10^00:05:39^3191"
"1126639398693613568^'rt : parents and educators  please encourage your middle and hs students to register for this free conference we will have re'^2019-05-10^00:05:39^2242"
"1126639477797998593^'i think we must have missed each other at cisco my loss good luck  and that article was really great you sound like you are on the right track!'^2019-05-10^00:05:58^4326"
"1126639509280571393^'clearly this was cisco jumping to conclusions and the ending is well how his conclusions ended'^2019-05-10^00:06:05^271"
"1126639540834377729^'rt : lol md / and cisco lol'^2019-05-10^00:06:13^387"
"1126639583289126912^'rt : because it's essential for us national security that the british g network only supports nsa-approved cisco backdoors https:'^2019-05-10^00:06:23^676"
"1126639805260029952^'got here a   headset and an ipc trying to put the pieces together ciscounityconnection wine linux'^2019-05-10^00:07:16^241"
"1126639821903028224^'rt : feb   i looked around a conference center of hundreds immediately felt defeated have you ever been in the middle of'^2019-05-10^00:07:20^1083"
"1126639837438730243^'rt : nikos ypofantis () together we give a warm welcome to the audience of ciscoexperience we'^2019-05-10^00:07:23^6166"
"1126639900323995648^'cisco predicts  billion things connected to iot by  - what does it mean to connect?'^2019-05-10^00:07:38^14588"
"1126639951502893056^'cisco open sources mindmeld conversational ai platform'^2019-05-10^00:07:51^7"
"1126639977964589058^'rt : barry: hey  do you think i could fit fifteen marshmallows into my mouth? harry: you're a hazard to society cisco: a'^2019-05-10^00:07:57^848"
"1126640068536537088^'rt : year founded:  nokia  ericsson  ibm  motorola  samsung  hp  sony  comcast  intel '^2019-05-10^00:08:18^203"
"1126640114027966464^'rt : year founded:  nokia  ericsson  ibm  motorola  samsung  hp  sony  comcast  intel '^2019-05-10^00:08:29^27"
"1126640123779719173^'rt : cisco and barry are pushing the tire ralph is in the tire joe is the driver'^2019-05-10^00:08:32^786"
"1126640184311808001^'rt : cisco predicts  billion things connected to iot by  - what does it mean to connect? h'^2019-05-10^00:08:46^765"
"1126640251554992128^'clearly this was cisco jumping to conclusions and the ending is well how his conclusion ended in the dirt'^2019-05-10^00:09:02^271"
"1126640311856500736^'[news] cisco open sources mindmeld conversational ai platform - loganspace'^2019-05-10^00:09:16^125"
"1126640381544796160^'rt : 's cisco liquido  salar salahshoor  and krishna iyer demoing exela's core banking solutions that drive down costs '^2019-05-10^00:09:33^1702"
"1126640382513766401^'cisco adds amp to sd-wan for isr/asr routers'^2019-05-10^00:09:33^23"
"1126640433965219851^'rt : year founded:  nokia  ericsson  ibm  motorola  samsung  hp  sony  comcast  intel '^2019-05-10^00:09:46^659"
"1126640485303574529^'rt : year founded:  nokia  ericsson  ibm  motorola  samsung  hp  sony  comcast  intel '^2019-05-10^00:09:58^161"
"1126640572805058560^'cisco open sources mindmeld conversational ai platform'^2019-05-10^00:10:19^928"
"1126640761485889536^'rt : honored to host president of colombia in san jose  california today partnering to support the presid'^2019-05-10^00:11:04^763"
"1126640872156798977^'rt : year founded:  nokia  ericsson  ibm  motorola  samsung  hp  sony  comcast  intel '^2019-05-10^00:11:30^26"
"1126640887075876864^' years here worked in tech when cisco was just a wee baby and there were no cell phones part of the recent layoffs at ; loved the team i built and people i worked with good to read this thread today'^2019-05-10^00:11:34^70"
"1126640893316956161^'rt : year founded:  nokia  ericsson  ibm  motorola  samsung  hp  sony  comcast  intel '^2019-05-10^00:11:35^365"
"1126641105460764673^'the and relationship gets stronger everyday!'^2019-05-10^00:12:26^73"
"1126641138503258112^'cisco open sources mindmeld conversational ai platform'^2019-05-10^00:12:34^5832"
"1126641183873282048^'this sounds familiar you wouldn't be referring to alize  or md/  or cisco would you? because smh'^2019-05-10^00:12:44^306"
"1126641184464617472^'cisco issues critical security warning for nexus data-center switches'^2019-05-10^00:12:45^21"
