"1121587956651909120^'dealbook briefing: and kiss and make up  comments by'^2019-04-26^01:33:01^4594"
"1121587958073655297^'traders buy shares of qualcomm $qcom on weakness following insider selling'^2019-04-26^01:33:01^272"
"1121588038524522496^'qualcomm critical flaw exposes private keys for android devices: via'^2019-04-26^01:33:21^64"
"1121588094677942273^'rt : sprint's secret g weapon is something qualcomm recommends  but at&amp;t and verizon can't do from at the brooklyn'^2019-04-26^01:33:34^1034"
"1121588414103506945^'rt : redmi fastest in class power that lasts qualcomm(r) snapdragon(tm)   "" hd+ with dot drop display  mah high-c'^2019-04-26^01:34:50^44"
"1121588549894193153^'the best welcome we could wish for '^2019-04-26^01:35:23^292"
"1121588559889293313^'check out aluratek usb type-c power bank w/ qualcomm quick charge  -  mah aluratek onlineshopping freeshipping sale specials avengersengame savings deals nfldraft giftideas store nfldraft via'^2019-04-26^01:35:25^5421"
"1121588748179820544^'intel says apple and qualcomm's surprise settlement pushed it to exit mobile g'^2019-04-26^01:36:10^35"
"1121589087801155584^'intel says apple and qualcomm's surprise settlement pushed it to exit mobile g'^2019-04-26^01:37:31^5605"
"1121589305942659072^'apple-qualcomm settlement led to intel's exit from g phone modem market - cnet'^2019-04-26^01:38:23^4711"
"1121589518560309248^'intel says apple and qualcomm's surprise settlement pushed it to exit mobile g'^2019-04-26^01:39:14^6401"
"1121589563481370624^'samsung galaxy tab s  oppo a  redmi flagship  qualcomm snapdragon  - tech talks  in today's tech insider  we're discussing samsung galaxy tab s  oppo a  redmi flagship  qualcomm snapdragon  coming in  in the new issue of inside  samsun'^2019-04-26^01:39:24^44"
"1121589975882117125^'qualcomm critical flaw exposes private keys for android devices'^2019-04-26^01:41:03^240"
"1121590130643558401^'i've just posted a new blog: report: intel ceo bob swan says the chip company decided to exit the mobile g business after apple and qualcomm announced their settlement (chaim gartenberg/the verge) april    at :pm'^2019-04-26^01:41:39^109"
"1121590139006984194^'i've just posted a new blog: qualcomm patches critical security flaw impacting  of its chipsets used in android devices that could let attackers retrieve private data and encryption keys (catalin cimpanu/zdnet) april    at :pm'^2019-04-26^01:41:41^109"
"1121590244892037120^'""when the patent system works: last week  apple and qualcomm agreed to settle their multi-year  billion-dollar patent infringement lawsuit  ending a variety of ongoing legal actions  patentnews'^2019-04-26^01:42:07^504"
"1121590980732444672^'qualcomm and apple settle lawsuit  plus  a look at the streaming service war | tech(feed) -'^2019-04-26^01:45:02^267"
"1121590992304517120^'smartphone: intel says apple and qualcomm's surprise settlement =&gt; mobile'^2019-04-26^01:45:05^16262"
"1121591969199939584^'onchampsfrc memories feat nathan of blizzard just before the team went to the field! calm  cool and ready to go! thanks for speaking w/us nathan! good luck to you and the whole team in detroit this week at firstchamp destinationdeepspace'^2019-04-26^01:48:58^203"
"1121592044814618624^'having a quick charger  along with phone is more important than this  which is required by every age group'^2019-04-26^01:49:16^3"
"1121592181884690433^'intel to supply g modems for  iphone  exited g smartphone business because of apple-qualcomm settlement'^2019-04-26^01:49:48^8"
"1121593385167536128^'rt : us tech companies founded by st or nd generation immigrants: '^2019-04-26^01:54:35^144"
"1121594180092846081^'rt : qualcomm patches critical security flaw impacting  of its chipsets used in android devices that could let attackers retriev'^2019-04-26^01:57:45^22"
"1121594587565445120^'security flaw lets attackers recover private keys from qualcomm chips ^us'^2019-04-26^01:59:22^88"
"1121594742326714369^'rt : intel ceo says apple's settlement with qualcomm prompted its exit from the g business  not vice versa'^2019-04-26^01:59:59^269"
"1121594841597714435^'new on qualcomm and swisscom bring g to europe with the first-announced commercial services - by streetsignals'^2019-04-26^02:00:23^16"
"1121595453336891392^'samsung plans $ billion investment in non-memory chips to challenge tsmc  qualcomm'^2019-04-26^02:02:48^139"
"1121595540028788736^'nope you are literally attempting to start skynet nope nope nope'^2019-04-26^02:03:09^337"
"1121595823467319296^'hey  check this out: [qualcomm patches critical security flaw impacting  of its chipsets used in android devices that could let attackers retrieve private data and encryption keys (catalin cimpanu/zdnet)] (via quarry app)'^2019-04-26^02:04:17^32"
"1121596173477871616^'this was a real treat and very inspiring!'^2019-04-26^02:05:40^503"
"1121596184781570049^'rt : irwin jacob's of fame talking about his life and career as honoree at the brooklyn g summit bgs '^2019-04-26^02:05:43^503"
"1121596490793799680^'new post: nokia  qualcomm power up g industrial iot use-cases -'^2019-04-26^02:06:56^59"
"1121596640538890240^'intel says apple and qualcomm's surprise settlement pushed it to exit mobile g'^2019-04-26^02:07:32^63"
"1121596730229895169^'i have not received an april security patch'^2019-04-26^02:07:53^535"
"1121596822529527808^'new post (intel says apple and qualcomm's surprise settlement pushed it to exit mobile g - the verge) has been published on -'^2019-04-26^02:08:15^1905"
"1121596900673765376^'rt : new post: nokia  qualcomm power up g industrial iot use-cases -'^2019-04-26^02:08:34^746"
"1121596973403000832^'rt : irwin jacob's of fame talking about his life and career as honoree at the brooklyn g summit bgs '^2019-04-26^02:08:51^5634"
"1121597080731103238^'apple-qualcomm settlement led to intel's exit from g phone modem market - cnet'^2019-04-26^02:09:16^501"
"1121597488329134080^'private key extraction from qualcomm hardware-backed keystores'^2019-04-26^02:10:54^549"
"1121597547015888898^'very exciting to see xr for enterprise growing! from few unit demos  to s/s pilots to now s of units deployments in last couple years! nice job ! can't wait to see the growth over next couple years - so much still come!!'^2019-04-26^02:11:08^444"
"1121597565798113281^'stayinformed technology apple settles lawsuit with qualcomm dtlive via - digitaltrends - tech  technews'^2019-04-26^02:11:12^4058"
