"1138235162297360385^'cisco live  demonstrates networking giant's intent'^2019-06-11^00:03:04^0"
"1138235164302036992^'rt : together  g and wi-fi  represent the next major leap of connectivity cisco enterprise networking svp and gm scott harrell div'^2019-06-11^00:03:05^68"
"1138235204664025088^'rt : cisco my heart theflash'^2019-06-11^00:03:14^719"
"1138235276726276096^'rt : extend intent-based networking to the iot edge: introducing 's  embedded services access points - offering flexib'^2019-06-11^00:03:32^345"
"1138235412181241856^'solutions architect - cisco enterprise networking (ccnp  ccie) - f/t top tier cisco gold partner - dallas / dfw'^2019-06-11^00:04:04^539"
"1138235866302705664^'cisco simplifies intent-based networking and certifications: more automation and new certifications star at cisco live'^2019-06-11^00:05:52^5215"
"1138235933977747456^'rt : it's been an exciting first day at clus! in addition to the technology news and learning that happens at the event  cisco encou'^2019-06-11^00:06:08^68"
"1138235934820982786^'rt : the new devnet certifications are mind blowing clus ciscochampions  new updated ccna and ccnp and'^2019-06-11^00:06:08^2332"
"1138236850085089280^'rt : the first thing with the cisco changes is not to panic; the new exams don't even start until next febuary do not stop stu'^2019-06-11^00:09:47^11"
"1138236912123240449^'we'll have presenting iot on wednesday as part of tech field day extra at cisco live us ! tune in at : pm pacific time clus tfdx learn more:'^2019-06-11^00:10:01^8252"
"1138236930104201221^'the world is much bigger than the usa! the same can be said about cisco and microsoft; americans should try taking their heads out of their jingoistic asses'^2019-06-11^00:10:06^643"
"1138236938513727489^'take a look at eyes cisco certifications'^2019-06-11^00:10:08^195"
"1138237148589486080^'absolutely agree!'^2019-06-11^00:10:58^7"
"1138237185449111552^'using your materials for ccnp tshoot logical step to move for next yrs' changes'^2019-06-11^00:11:07^11"
"1138237301836918784^'amazing gratitude for our returning silver sponsor ! thank you for supporting us again here in one of our favorite city stops on the golf challenge schedule!  years running!'^2019-06-11^00:11:34^13917"
"1138237312301555712^'we're back cisco live! come meet our experts learn how we enable our partners fortune customers! pick up a copy of our internal team's new book - sold: selling outcomes leading deals world of solutions park strip booth  cloudsolutions ciscolive sales enablement'^2019-06-11^00:11:37^167"
"1138237363807821826^'network programmability and automation!'^2019-06-11^00:11:49^1482"
"1138237481898450944^'as they say network engineers can learn coding easily  but developers can't learn network engineering that easily big push towards scripting/coding today clus clus neteng ciscolive cisco'^2019-06-11^00:12:17^121"
"1138237550038900736^'rt : so excited that we can finally talk about this!!! clus'^2019-06-11^00:12:34^918"
"1138237572579254273^'big news from cisco live: one ccna to rule them all coming in  clus clus newccna'^2019-06-11^00:12:39^23586"
"1138237614190997509^'the guy with all of the answers! clus ^ms'^2019-06-11^00:12:49^81652"
"1138237663058812929^'rt : {new blog} iot's potential to deliver significant value is clear   vice president of product management of cis'^2019-06-11^00:13:00^272"
"1138237705320566784^'rt : {new blog} iot's potential to deliver significant value is clear   vice president of product management of cis'^2019-06-11^00:13:11^29496"
"1138237766456795136^'spent some time on the cisco learning network since hearing about the new certs i think i'm heading the ccnp security routes clus'^2019-06-11^00:13:25^23"
"1138237794642513920^'cheers googled it earlier just making surecall me hand'^2019-06-11^00:13:32^452"
"1138237900926201856^'stop by booth  to experience our sl platform  the most comprehensive monitoring solution for aci in the industry clus'^2019-06-11^00:13:57^5491"
"1138237930626048000^'war - the cisco kid listen now work  rest or play //'^2019-06-11^00:14:04^549"
"1138237949559001088^'merakimission having an amazing time at cisco live meraki kiosk'^2019-06-11^00:14:09^0"
"1138238061911740416^'rt : sounds like a great roundtable on the changing legal environment with (greenberg traurig)  alisa bergman (adobe'^2019-06-11^00:14:36^66"
"1138238074784059392^'rt : see the power of co-innovation cubed our toronto co-innovation toinnovate worked together with and'^2019-06-11^00:14:39^29"
"1138238109013958656^'rt : we stayed a night in cisco  utah a ghost town north of moab nobody else but us  thoroughly spooky ghost photos on mm kodak film'^2019-06-11^00:14:47^1212"
"1138238250215137280^'rt : technology has made amazing advancements over the past  years but ceo is eager for the possibilities the future'^2019-06-11^00:15:20^780"
"1138238295819710464^'rt : thank you for helping me kick off by sharing our latest multi- domain technology innovations w'^2019-06-11^00:15:31^780"
"1138238296256077830^'intelligent waves is starting this week off with a bang! our chief technology officer  marqus hutchinson is having a blast cisco live in san diego  ca! ciscolive intelligentwaves'^2019-06-11^00:15:31^99"
"1138238371879276544^'what is happening to the icnd or part  of the ccent if icnd is only testable until feb? i'm a little confused i am scheduled to take my ccent in october will i need to take part  by a certain time to receive a ccna?'^2019-06-11^00:15:49^155"
"1138238418985443330^'clus cisco live san diego! amazing experience!'^2019-06-11^00:16:01^2027"
"1138238484227985408^'this is why all the hand wringing over the ""big tech companies"" is silly wasn't that long ago sears was one of the biggest companies on earth  yahoo was untouchable in search  and rim was the dominant mobile phone manufacturer things change'^2019-06-11^00:16:16^3797"
"1138238572425646080^'come join at cisco live! devnet zone now clus devnet'^2019-06-11^00:16:37^124"
"1138238588372439040^'rt : cisco sd-wan + umbrella is pretty darn slick i think it's a good first step to what spoke about in the keyn'^2019-06-11^00:16:41^780"
"1138238592940163072^'no!! cisco took the cure and is no longer vibe on'^2019-06-11^00:16:42^369"
"1138238649341030401^'sooo  with the new cisco certs coming in   and the ccna sec getting put into ccna  should i just stop my pursue to ccna sec and get my ccnp? neutral face clus clus'^2019-06-11^00:16:56^628"
"1138238711403929602^'rt : proud to be your partner thanks for all you do! clus'^2019-06-11^00:17:10^780"
"1138238913049325568^'i'm one of the main contributors to openconnect (currently supports cisco/juniper/globalprotect vpns) behind the scenes  these vpns aren't even ""elaborate"" they all just transport packets over a tls stream  or udp  and their ""security scanners"" are tedious but easy to fool'^2019-06-11^00:17:58^281"
"1138238976689672193^'rt : cisco netacad dream team installing all the access points ('*_*`) [?]( [?]) antenna with bars kuku to keep you all conne'^2019-06-11^00:18:14^0"
"1138239027482648578^'rt : learn how the new devnet automation exchange and cisco's new certification program with devnet certifications are helping'^2019-06-11^00:18:26^1587"
"1138239060500201474^'rt : new ccna! new devnet certs! wow today is a game changer! explains: ccna devnet devn'^2019-06-11^00:18:34^148"
"1138239126405308416^'i just found out cisco is changing their certification structure these are very big changes  certification pursuers i advise you check out this learning network blog for link leading to several informative podcasts'^2019-06-11^00:18:49^114"
"1138239179920465920^'cisco embeds more ai  machine learning across the network via &amp;'^2019-06-11^00:19:02^122"
"1138239189739352066^'rt : great presentation on iot strategy and new capabilities by the amazing - we are just getting started!'^2019-06-11^00:19:04^194"
"1138239284660641792^'rt : {new blog} iot's potential to deliver significant value is clear   vice president of product management of cis'^2019-06-11^00:19:27^48"
"1138239437442355200^'cisco to buy iot security  management firm sentryo'^2019-06-11^00:20:04^1810"
"1138239440978100225^'the cisco ie provides a modular solution for unique environment ciscolive cisco clus'^2019-06-11^00:20:04^62"
