"1130987631976812545^'rt : am i the only who thinks this sounds exactly like bribery and extortion?'^2019-05-22^00:03:58^3380"
"1130987634552033280^'rt : the is about freedom this isn't not about amash it's not even about the president it's about what emmet'^2019-05-22^00:03:59^8495"
"1130987634719895552^'rt : new evidence surfaces steele intel was fool's gold  but fbi proceeded anyways'^2019-05-22^00:03:59^4261"
"1130987635839782914^'rt : been looking for almost  mins have not seen one article mentioning gays opposed to buju not one comment from a gay per'^2019-05-22^00:03:59^212"
"1130987639220441088^'rt : trump sued to conceal his financial records from congress yesterday  a judge ruled in favor of congress  and said the ide'^2019-05-22^00:04:00^2491"
"1130987651266252802^'rt : new evidence surfaces steele intel was fool's gold  but fbi proceeded anyways'^2019-05-22^00:04:03^8134"
"1130987653061435392^'thanks to our intel and brave officers!!! clapping hands signemoji modifier fitzpatrick type--clapping hands signemoji modifier fitzpatrick type--clapping hands signemoji modifier fitzpatrick type--regional indicator symbol letter iregional indicator symbol letter nregional indicator symbol letter iregional indicator symbol letter nregional indicator symbol letter iregional indicator symbol letter n'^2019-05-22^00:04:03^52"
"1130987659319496705^'rt : i'm listening to republicans twist the iran intel to make it sound like iran is taking unprovoked  offensive measures ag'^2019-05-22^00:04:05^2463"
"1130987660674326528^'rt : new evidence surfaces steele intel was fool's gold  but fbi proceeded anyways'^2019-05-22^00:04:05^1753"
"1130987663828369410^'rt : mueller needs to woman the f**k up hillary testified publicly under oath for  hours while being trashed by republican'^2019-05-22^00:04:06^941"
"1130987664705040386^'rt : not acceptable the house democrats are already legally entitled to the mueller probe materials this is a bs offer d'^2019-05-22^00:04:06^539"
"1130987665929646080^'the justice department said it would provide the house intelligence committee with some materials related to special counsel robert mueller's investigation as long as the panel dropped its threat to pursue an ""enforcement action"" against william barr'^2019-05-22^00:04:06^74641"
"1130987667112562689^'rt : new evidence surfaces steele intel was fool's gold  but fbi proceeded anyways'^2019-05-22^00:04:07^1030"
"1130987669658492929^'rt : new evidence surfaces steele intel was fool's gold  but fbi proceeded anyways'^2019-05-22^00:04:07^1037"
"1130987670455422977^'rt : the intel community's initial investigation into russian collusion wasn't any normal investigation: secret task force o'^2019-05-22^00:04:08^27"
"1130987673525596161^'rt : barr (shorter): ""we'll give you a small part of what you're already entitled to by law if you don't hold me accountable for'^2019-05-22^00:04:08^3801"
"1130987677778685958^'rt : new: doj says in new letter that its efforts to accommodate house intel's requests for the full unredacted mueller rep'^2019-05-22^00:04:09^291"
"1130987678927904769^'rt : ) my latest uk intel agencies frame spygate involvement ahead of trump's declassification'^2019-05-22^00:04:10^3236"
"1130987683692634113^'illegal behavior treason?'^2019-05-22^00:04:11^1516"
"1130987686397980672^'rt : the intel community's initial investigation into russian collusion wasn't any normal investigation: secret task force o'^2019-05-22^00:04:11^4113"
"1130987686683131907^'rt : according to the   the heads of uk intelligence were briefed about the contents of the steeledossier before pre'^2019-05-22^00:04:11^654"
"1130987694509764609^'rt : new evidence surfaces steele intel was fool's gold  but fbi proceeded anyways'^2019-05-22^00:04:13^3401"
"1130987695684108288^'rt : new evidence surfaces steele intel was fool's gold  but fbi proceeded anyways'^2019-05-22^00:04:14^4610"
"1130987699421175808^'fuck no !'^2019-05-22^00:04:14^54"
"1130987709118525440^'rt : trump sued to conceal his financial records from congress yesterday  a judge ruled in favor of congress  and said the ide'^2019-05-22^00:04:17^119"
"1130987716303130624^'rt : new evidence surfaces steele intel was fool's gold  but fbi proceeded anyways'^2019-05-22^00:04:18^386"
"1130987728219398146^'rt : according to   the heads of uk intelligence were briefed about the contents of the steeledossier before preside'^2019-05-22^00:04:21^18165"
"1130987727988568066^'nice nice nice'^2019-05-22^00:04:21^3"
