"1123739367577673728^'good job microsoft'^2019-05-02^00:01:57^17"
"1123739370169802753^'to be fair  its a microsoft product usability  reliability  and functionality are all features  but you have to pay premiums and licensing for each of those  tiers in that order'^2019-05-02^00:01:58^6"
"1123739375878254592^'rt : for every mutual who retweets this i will draw you my titties in microsoft paint and the amount of detail i put into it'^2019-05-02^00:01:59^278"
"1123739393506803712^'microsoft defines new privacy controls for office  proplus users'^2019-05-02^00:02:04^36"
"1123739399836119045^'""bill gates failed as microsoft ceo"" oga  say what now? being the man at the helm that turned microsoft from just another software vendor to the behemoth of the computer industry in the s and s is not ""failure"" in any way shape or form please'^2019-05-02^00:02:05^704"
"1123739403950743558^'microsoft msoms - top stories by'^2019-05-02^00:02:06^492"
"1123739416017743872^'rt : in this one class alone i've learned how to use microsoft access  code a website with html  make a portfolio website  l'^2019-05-02^00:02:09^112"
"1123739418693701634^'rt : faqs on office  retention  disposal archiving microsoft'^2019-05-02^00:02:10^0"
"1123739420723752970^'does that mean azure  office  onenote and halo are also pronounced ""microsoft""? good to know  i thought we were pronouncing everything ""advanced threat protection"" face with stuck-out tongue'^2019-05-02^00:02:10^1803"
"1123739423668150274^'rt : it's true most a lot of workplaces use slack badly but it doesn't have to be that way! if you fail to set clear practices  rul'^2019-05-02^00:02:11^2276"
"1123739476122009601^'rt : microsoft joins group seeking to avoid historic climate change lawsuit || via guardian'^2019-05-02^00:02:23^6497"
"1123739476583505923^'rt : exclusive lawyer amal clooney actor george clooney launch trialwatch a new initiative to monitor courtrooms worldwid'^2019-05-02^00:02:23^597"
"1123739477392928768^'rt : issues associated with appearing to be 'always on' are difficult it's the digital age version of old-fashioned presenteei'^2019-05-02^00:02:24^275"
"1123739499677278209^'learned a bit of meanstack programming coding from microsoft ya never know'^2019-05-02^00:02:29^1722"
"1123739525082173441^'give me coffee cards now microsoft lol'^2019-05-02^00:02:35^1658"
"1123739525782671361^'what do you expect from a racist  toxic  k player? all his shit caught up to him'^2019-05-02^00:02:35^509"
"1123739526919335936^'we tend to agree clapping hands signclapping hands signclapping hands sign'^2019-05-02^00:02:35^5108"
"1123739551145574402^'rt : free microsoft pfe assessment tool: ~~ ad acl scanner ~~ produces visual reports of nonstandard permission anomalies a'^2019-05-02^00:02:41^34"
"1123739554341687296^'i cld tlk'd to a less than competent cst svs rep who is unable to follow directions as he not was too sorry to read the case notes asking me what happened but also didn't transfer me where i requested'^2019-05-02^00:02:42^698"
"1123739556925313024^'the new format of the known issue is so easy to understand! azurestack'^2019-05-02^00:02:43^1543"
"1123739573186695170^'rt : the letters in my essay when i'm making them bigger and changing them to bold in microsoft word'^2019-05-02^00:02:46^346"
"1123739602706206720^'rt : excited to share that today microsoft dynamics  customer service insights is now generally available! learn more about'^2019-05-02^00:02:54^0"
"1123739612143411204^'rt : microsoft on tuesday became the second us company ever to close with a market capitalization of more than $ trillion apple bec'^2019-05-02^00:02:56^14"
"1123739621081460739^'rt : baby pros: -are cute sometimes baby cons: -lack sense of fashion -lack communication comprehension skills -are n'^2019-05-02^00:02:58^3229"
"1123739703130378240^'""microsoft's security chief explains why the company is eliminating passwords"" while it might be tough to go all-in at your company today - start testing and get familiar with solutions this must happen'^2019-05-02^00:03:17^562"
"1123739707454709760^'rt : an overview of microsoftreplacement characters network-based interconnect'^2019-05-02^00:03:18^24"
"1123739708054482952^'rt : two of our chapter leaders  and   were on a podcast together hear what they have to say ab'^2019-05-02^00:03:19^1736"
"1123739723518943234^'over the past year  microsoft has built a nucleus of physician executives to guide its work in health care here are people you'll want to keep an eye on'^2019-05-02^00:03:22^35"
"1123739724827496450^'oh ur graduating? have fun paying for the full microsoft office suite now nerd i'll just keeping handing the institute a couple thou a year'^2019-05-02^00:03:23^146"
"1123739741428572166^'rt : this is one of the best deals the team has seen on a new xbox one x get microsoft's k console with a code for pubg for'^2019-05-02^00:03:27^763"
"1123739757417254914^'rt : using net and together -  update'^2019-05-02^00:03:30^3828"
"1123739767185735681^'rt : two of our chapter leaders  and   were on a podcast together hear what they have to say ab'^2019-05-02^00:03:33^1847"
"1123739770700611584^'microsoft xbox one x project scorpio edition  tb  brand new black console xboxone xbox game'^2019-05-02^00:03:34^72"
"1123739776543330304^'rt : microsoft joins group seeking to avoid historic climate change lawsuit || via guardian'^2019-05-02^00:03:35^6279"
"1123739785594642433^'i felt so bad for her that i started using microsoft edge i am not going to lie  it's so much easier using edge'^2019-05-02^00:03:37^29"
"1123739795421839361^'microsoft advertising is no longer just chasing parity with google ads - it's building unique ads features'^2019-05-02^00:03:39^665"
"1123739817504837633^'data is the new scalpel: many micro improvements across the health system will enable us to achieve incredible outcomes; and data is what will drive this change  says gabe rijpma  of microsoft oursihealthsystem'^2019-05-02^00:03:45^320"
"1123739817685209090^'texting with : m: i'm at microsoft right now j: you mean you're passing microsoft right now ideally'^2019-05-02^00:03:45^1153"
"1123739846269444097^'the unelected leaders of extinction rebellion are capitalist corporatists looking to sell off the last resources of the earth to the corporations that have destroyed the earth and whom they serve  do you support this?'^2019-05-02^00:03:52^261"
"1123739861469495296^'use microsoft edge developer version ok hand sign'^2019-05-02^00:03:55^105"
"1123739886111137792^'minecraft isn't microsoft stop saying that guys please'^2019-05-02^00:04:01^5"
"1123739895267307522^'microsoft ciso bret arsenault wants to eliminate passwords - cnbc'^2019-05-02^00:04:03^5121"
"1123739949180829699^'you've nailed it  aaron it is incredible to see how this works similar to the market dominance of microsoft despite having a subpar product  their share of the computer market is so great that folks are required to respond to them regardless of the quality of their product'^2019-05-02^00:04:16^405"
"1123739977874071552^'skype is terrible with features to connect me and indentify my neighbors meetup microsoft bing airbnb '^2019-05-02^00:04:23^171"
"1123740012594511872^'rt : best selling computer games of all time (million units sold) the sims :  world of warcraft:  diablo iii:  m'^2019-05-02^00:04:31^266"
"1123740015727665159^'rt : ai ethical principles: google: socially beneficial  avoid unfair bias  safety  accountability  privacy  scientific excellen'^2019-05-02^00:04:32^168"
"1123740020991569921^'rt : it's easy to go from microsoft storsimple - to nasuni and azure! find out how: cloud migratio'^2019-05-02^00:04:33^45"
"1123740029946343427^'rt : love letters from the red team: from e-mail to ntlm hashes with microsoft outlook'^2019-05-02^00:04:35^232"
"1123740039341592580^'lion faceheavy black heart[?]person with folded handsplease follow my journey through this life! xbox playstation sony microsoft nintendo videogames ps apple robots ai amazon godofwar halo zelda mario sekiro spiderman'^2019-05-02^00:04:38^1"
