"1123739872093704193^'rt : *bombshell report* from'^2019-05-02^00:03:58^190"
"1123739883565142019^'rt : southcom's adm faller at hasc on strengthening cooperation w/ brazil: ""they are all in we have been down to brazil  they'^2019-05-02^00:04:00^148"
"1123739886031450114^'rt : actually it is far more likely we had massive penetration of our intel agencies through the state dept during hillary c'^2019-05-02^00:04:01^403"
"1123739893199441925^'rt : / trump's classified briefing told trump in mid- that his campaign had been targeted for solicitation and infiltrati'^2019-05-02^00:04:03^102"
"1123739908525449216^'rt :  is a disgrace she hates this nation giving this woman classified intel is a travesty'^2019-05-02^00:04:06^5074"
"1123739912593911809^'rt : jw president appeared on ""hannity"" to discuss the deep state coup effort against : ""the dnc'^2019-05-02^00:04:07^3478"
"1123739937751404544^'rt : dear regional indicator symbol letter uregional indicator symbol letter s  you are witnessing the the greatest event in human history unfold before your very eyes -- the big boss fight i'^2019-05-02^00:04:13^562"
"1123739949575155715^'rt : southcom's adm faller at hasc on strengthening cooperation w/ brazil: ""they are all in we have been down to brazil  they'^2019-05-02^00:04:16^1502"
"1123739963370233858^'rt : actually it is far more likely we had massive penetration of our intel agencies through the state dept during hillary c'^2019-05-02^00:04:20^175859"
"1123739974673809410^'rt : jw president appeared on ""hannity"" to discuss the deep state coup effort against : ""the dnc'^2019-05-02^00:04:22^207"
"1123739976297066501^'begs the question who is running counter-intel  mueller? there's a theory that barr's office leaked mueller letters (denied knowing today  guessing wapo won't give up source?) because mueller conducting ci investigation  as pretense to getting him fired  remove him from it?'^2019-05-02^00:04:23^5969"
"1123739979547578368^'rt : if allows huawei to build any part of g in britain it risks endangering critical ""five eyes"" intel coop'^2019-05-02^00:04:23^29"
"1123739981342748675^'rt :  is a disgrace she hates this nation giving this woman classified intel is a travesty'^2019-05-02^00:04:24^2035"
"1123739991602008072^'rt : *bombshell report* from'^2019-05-02^00:04:26^53"
"1123739993602764802^'rt : months after we learned senior doj employees peter strzok and lisa page exchanged anti-trump text messages during and after the'^2019-05-02^00:04:27^1501"
"1123740004277260289^'rt : begs the question who is running counter-intel  mueller? there's a theory that barr's office leaked m'^2019-05-02^00:04:29^5969"
"1123740026343428097^'rt : these purges of entire us intel networks in iran and china were hidden from the american public at the time it was happe'^2019-05-02^00:04:35^1136"
"1123740034304282628^'they're terrified barr may actually investigate and follow the law! ag barr has rare opportunity to restore greatness and reputation to the doj/fbi/cia/state dept/intel agencies and fisa process - making him the greatest ag in us history! investigate/indict all who broke laws'^2019-05-02^00:04:36^2636"
"1123740037743611905^'rt :  subpoenas  witnesses  search warrants  communications records  phone traps  foreign govt intel re'^2019-05-02^00:04:37^18"
"1123740039287062528^'rt : *bombshell report* from'^2019-05-02^00:04:38^4909"
"1123740052029411328^'rt :  is a disgrace she hates this nation giving this woman classified intel is a travesty'^2019-05-02^00:04:41^96"
"1123740056739622914^'rt : contest psa! person doing cartwheelzero width joinermale sign[?] our partners at teamed up with are giving away a y gaming laptop find'^2019-05-02^00:04:42^2158"
"1123740063312039936^'rt :  is a disgrace she hates this nation giving this woman classified intel is a travesty'^2019-05-02^00:04:43^1471"
"1123740064469614593^'rt : in - obama planned to take over america all intel heads were on board with obama's plans only two heads were not in'^2019-05-02^00:04:44^30768"
"1123740065740537859^'rt : apparently  shameless is a special power mastered by the republican coverupcaucus with the disg'^2019-05-02^00:04:44^4"
"1123740065648320513^'schiff hires ex-chief of fbi financial crimes section as house intel probes trump's finances via daily bust you going to report on schiff when they do an investigation on his witness tampering with cohen?'^2019-05-02^00:04:44^1"
"1123740070253613056^'intel  /  compiler beta: * on windows  only visual studio  is supported * no mention if fortran  ""error stop"" (non-constant character) is supported fortran  error stop has already been supported for several releases'^2019-05-02^00:04:45^1186"
"1123740070572380165^'little intel advises marape and tondop breaking their fast with the oppostion ranks deals are being done and hopefully the new pm is better then the last'^2019-05-02^00:04:45^1656"
"1123740070631153666^'rt : *bombshell report* from'^2019-05-02^00:04:45^281"
"1123740070840815616^'rt :  is a disgrace she hates this nation giving this woman classified intel is a travesty'^2019-05-02^00:04:45^3178"
"1123740077383929858^'rt : months after we learned senior doj employees peter strzok and lisa page exchanged anti-trump text messages during and after the'^2019-05-02^00:04:47^15113"
"1123740080131198977^'thats great intel thank youuusign of the hornsemoji modifier fitzpatrick type--'^2019-05-02^00:04:47^372"
"1123740094064730113^'rt : *bombshell report* from'^2019-05-02^00:04:51^1404"
"1123740106651783171^'rt : rosenstein  the nut who approved the full force of us intel to put me under illicit surveillance for my legitimate ties t'^2019-05-02^00:04:54^190"
"1123740111546585096^'rt : actually it is far more likely we had massive penetration of our intel agencies through the state dept during hillary c'^2019-05-02^00:04:55^441"
"1123740129368203266^'rt :  is a disgrace she hates this nation giving this woman classified intel is a travesty'^2019-05-02^00:04:59^5548"
"1123740131402424322^'rt : begs the question who is running counter-intel  mueller? there's a theory that barr's office leaked m'^2019-05-02^00:05:00^719"
"1123740165376237572^'rt : these purges of entire us intel networks in iran and china were hidden from the american public at the time it was happe'^2019-05-02^00:05:08^3011"
"1123740181994070017^'rt :  elections are coming soon vote red to take back the house  keep the senate and  more years for potus democrats'^2019-05-02^00:05:12^332"
"1123740240383021056^'rt : these purges of entire us intel networks in iran and china were hidden from the american public at the time it was happe'^2019-05-02^00:05:26^2419"
