"1120479228716253184^'rt : announcing duo's mfa for cisco's firepower threat defense (ftd)'^2019-04-23^00:07:20^711"
"1120479333347409920^'announcing duo's mfa for cisco's firepower threat defense (ftd)'^2019-04-23^00:07:45^158"
"1120479337025867777^'announcing duo's mfa for cisco's firepower threat defense (ftd)'^2019-04-23^00:07:46^14"
"1120479623932993536^'no i'm trying to register in order to test out their teams api'^2019-04-23^00:08:54^1044"
"1120479747077750787^'rt : [free live webinar on thursday] you'll learn how to configure quality of service (qos) on cisco catalyst switches in this'^2019-04-23^00:09:23^231"
"1120479775095754758^'it looks like you didn't put in an email and you are asking for their email newsletter'^2019-04-23^00:09:30^820"
"1120479809644187648^'interested in learning more about ccna wireless? this is a great place to start! ccna wireless cisco ccnp'^2019-04-23^00:09:38^37"
"1120479873812848640^'rt : show off your it skills! register for your free cisco certification exams at cisco live  in san diego:'^2019-04-23^00:09:54^1028"
"1120480136409825280^'i can't fill out the email address it is disabled when i signed up the first time i tried to use my adfs login i also tried to use my github with the same result'^2019-04-23^00:10:56^1044"
"1120480243482075136^'no other options to signup exist'^2019-04-23^00:11:22^1044"
"1120480354379468800^'if you disable the newsletter will it work? sorry it wasn't clear the email address was not enabled to me'^2019-04-23^00:11:48^820"
"1120480404690153473^'rt : today's critical threats: a cisco security threat report'^2019-04-23^00:12:00^2558"
"1120480406242045953^'got $? get the bridge company directory for your employees self service communication in a friendly web interface innovative tools for cisco intelligent communications'^2019-04-23^00:12:01^789"
"1120480441180536832^'cisco services to the rescue  with david stanford'^2019-04-23^00:12:09^1"
"1120480456208789504^'today's critical threats: a cisco security threat report'^2019-04-23^00:12:12^89"
"1120480489960280065^'can you enable it with dev tools?'^2019-04-23^00:12:20^820"
"1120480513582616576^'black sun with rays hiring: firewall and cisco wips engineer analyst arlington cisco dataanalyst systemsanalyst techjobs devjobs ballot box with check apply now white right pointing index'^2019-04-23^00:12:26^39"
"1120480559342456833^'cisco live! melbourne abounds with co-innovation opportunities'^2019-04-23^00:12:37^303"
"1120480633959137282^'dell technologies and cisco reaffirm joint commitment to converged infrastructure with multi-year agreement | directdellemc [?][?]'^2019-04-23^00:12:55^374"
"1120480649704611840^'today's critical threats: a cisco security threat report'^2019-04-23^00:12:59^13"
"1120480653462654976^'today's critical threats: a cisco security threat report'^2019-04-23^00:12:59^253"
"1120480694311051264^'today's critical threats: a cisco security threat report'^2019-04-23^00:13:09^2"
"1120480789915938816^'quick tutorial on how to configure port security on a cisco switch staticandsticky portsecurity'^2019-04-23^00:13:32^25"
"1120481239025233925^'rt : cisco ise and your printer - a better way to keep hackers from using your printers to get into your network'^2019-04-23^00:15:19^0"
"1120481571889471489^'please join me at ciscolive june -   i'll be hosting a  hour instructor-led lab: nso: dealing with brownfield  deploy  discover and reconcile lvpn services it's scheduled to be held on // at : am looking forward to another great cisco live event!'^2019-04-23^00:16:38^18"
"1120481630844542976^'rt ndbridge ""got $? get the bridge company directory for your employees self service communication in a friendly web interface innovative tools for cisco intelligent communications'^2019-04-23^00:16:52^19"
"1120481687547318272^'today's critical threats: a cisco security threat report'^2019-04-23^00:17:06^532"
"1120481708007198720^'today's critical threats: a cisco security threat report'^2019-04-23^00:17:11^525"
"1120481758523293696^'today's critical threats: a cisco security threat report'^2019-04-23^00:17:23^6"
"1120481796129525760^'today's critical threats: a cisco security threat report'^2019-04-23^00:17:32^59"
"1120481859497005057^'today's critical threats: a cisco security threat report'^2019-04-23^00:17:47^2165"
"1120481913498677249^'cybersecurity hacker cisco asa: all-in-one next-generation firewall  ips  and vpn services (rd edition) -'^2019-04-23^00:18:00^20579"
"1120481925200863233^'today's critical threats: a cisco security threat report'^2019-04-23^00:18:03^216"
"1120481977013026823^'today's critical threats: a cisco security threat report'^2019-04-23^00:18:15^11"
"1120482011494453248^'better: cisco security drives innovation  growth and empowers customers'^2019-04-23^00:18:23^14"
"1120482035477491714^'today's critical threats: a cisco security threat report'^2019-04-23^00:18:29^227"
"1120482055178063874^'today's critical threats: a cisco security threat report'^2019-04-23^00:18:34^15"
"1120482075843362816^'cybersecurity and ransomware today's critical threats: a cisco security threat report'^2019-04-23^00:18:39^1348"
"1120482110903586817^'today's critical threats: a cisco security threat report'^2019-04-23^00:18:47^126"
"1120482135784206336^'that gave me a chuckle enough to help me get over the fact that cisco has the night off'^2019-04-23^00:18:53^153"
"1120482636672188416^'cisco worlds largest cybersecurity vendor!! cybersecurity'^2019-04-23^00:20:52^330"
"1120482885083987969^'cisco patches critical flaw in asr  routers -'^2019-04-23^00:21:52^246"
"1120482905623547909^'hey  cisco  kyle  eddie this looks about right huh?'^2019-04-23^00:21:56^132"
"1120483106400677888^'yea i tried that without digging too much into it the register ""button"" is just a div tried submitting the form in dev tools which didn't work i'm looking in the js to find where the code is for the ajax call'^2019-04-23^00:22:44^1044"
"1120483133453996032^'john apostolopoulos of cisco discusses machine learning in networking'^2019-04-23^00:22:51^158"
"1120483136738091010^'john apostolopoulos of cisco discusses machine learning in networking'^2019-04-23^00:22:52^14"
"1120483173564022786^'rt : congratulations to   who just successfully defended her brilliant dissertation - an ethnography on google  ci'^2019-04-23^00:23:00^168"
"1120483259736051713^'rt : icymi: last week issued  mid-april security alerts ( critical   high importance) ""the two critical alerts are'^2019-04-23^00:23:21^480"
"1120483683331387392^'rt : protect your business from cybercrime with cisco meraki - managed by centurylink'^2019-04-23^00:25:02^3"
"1120484005240029185^'case study: swisscom uses nexus data broker for scalable application traffic monitoring learn how swisscom  the best network in switzerland  uses cisco data broker and cisco nexus  to'^2019-04-23^00:26:19^7"
"1120484077608550400^'ciscochat live: optimizing cloud application performance with cisco sd-wan director of enterprise product marketing raakhee mistry and product management leader palak desai take a deep dive'^2019-04-23^00:26:36^7"
"1120484304872792064^'today's critical threats: a cisco security threat report'^2019-04-23^00:27:30^208"
"1120484312380510208^'cisco services to the rescue  with david stanford'^2019-04-23^00:27:32^34"
"1120484386972082176^'i guess this is why everyone writes slack apps instead of apps for teams'^2019-04-23^00:27:50^1044"
"1120484458233237506^'john apostolopoulos of cisco discusses machine learning in networking'^2019-04-23^00:28:07^2"
"1120484460879843328^'go hybrid or go home cisco itnews'^2019-04-23^00:28:07^8565"
"1120484556820365312^'cisco services to the rescue  with david stanford'^2019-04-23^00:28:30^504"
"1120484724525469697^'taco monday at the cisco household because tuesday is culture appropriation'^2019-04-23^00:29:10^19"
"1120484935025025024^'cisco meraki is hiring senior-level embedded platform engineers to join our team in san jose  ca please view the senior embedded platform engineer role via: ethernet cisco intel cavium broadcom embedded engineers'^2019-04-23^00:30:00^133"
"1120484942855770112^'find out how cisco enables employee meg m to be a mom and get stuff done! wearecisco'^2019-04-23^00:30:02^218"
"1120484994319880193^'rt : cisco is committed to building the bridge to a sustainable future earth globe asia-australia read how we turn that commitment into a reality:'^2019-04-23^00:30:14^834"
"1120485699873067009^'today's critical threats: a cisco security threat report'^2019-04-23^00:33:03^37"
"1120485834644492292^'for the lowest price  new and refurbished servers  scanners  printers from top brands like cisco  hp  ibm  and lexmark  visit'^2019-04-23^00:33:35^6300"
"1120485839392378887^'today two of my coworkers passed the icnd i am feeling very motivated cisco networking'^2019-04-23^00:33:36^81"
"1120485856832258049^'cisco warns wlan controller   series router and ios/xe users to patch urgent security holes'^2019-04-23^00:33:40^23"
"1120485984855035904^'rt : the power of connectivity reconnected puerto rico after hurricane maria responded and provided hope! electric'^2019-04-23^00:34:11^5"
"1120486144217628678^'grandson's nando and cisco'^2019-04-23^00:34:49^0"
"1120486184550113281^'rt : follow this to a tee: here for the playlist i used from  netwo'^2019-04-23^00:34:58^348"
"1120486915114000386^'rt : if you're looking to simplify your network architecture and lower your cybersecurity risk  discover how cisco and sap ca'^2019-04-23^00:37:52^4"
"1120486921074032649^'sign up now and earn the  most important cisco certifications there are for one low price! join over  students in the best-selling ccna course on udemy it certification: ccna  video bootcamp ccna  -'^2019-04-23^00:37:54^16770"
"1120487199441661953^'rt : dell technologies and cisco reaffirm joint commitment to converged infrastructure with multi-year agreement | directdellem'^2019-04-23^00:39:00^19"
"1120487251534843905^'sorry cisco looks like more heroes gaming to come hahaha yesss moaaarrrrr heroes!'^2019-04-23^00:39:13^45"
"1120487449736695808^'nice one thumbs up sign good to see this and other ipv deployment efforts starting to take off in myanmar'^2019-04-23^00:40:00^9925"
"1120487488445927424^'cisco  managed stackable switch ws-c-ts-e v ccna ccnp ccie labs - cisco connections'^2019-04-23^00:40:09^17"
"1120487727978483712^'check out cisco catalyst ws-cx-p-e v -port ip services poe switch  x psu cisco via'^2019-04-23^00:41:06^328"
"1120487925639200768^'check out cisco catalyst x ws-cx-ps-l v  port poe gigabit switch cisco via'^2019-04-23^00:41:53^328"
"1120487985705881601^'dell technologies and cisco reaffirm joint commitment to converged infrastructure with multi-year agreement | directdellemc'^2019-04-23^00:42:08^55"
