"1131712288052981760^'which do you like better  microsoft or apple? -- apple'^2019-05-24^00:03:30^1526"
"1131712298857500672^'which do you like better  microsoft or apple? -- apple'^2019-05-24^00:03:32^1506"
"1131712303857053696^'rt : the world's most valuable brands : regional indicator symbol letter uregional indicator symbol letter s apple $b regional indicator symbol letter uregional indicator symbol letter s google $b regional indicator symbol letter uregional indicator symbol letter s microsoft $b regional indicator symbol letter uregional indicator symbol letter s amazon $b'^2019-05-24^00:03:34^392"
"1131712306189131779^'which do you like better  microsoft or apple? -- appsoft  charot microsoft  ser'^2019-05-24^00:03:34^30"
"1131712327210942466^'rt : ""linkedin's founder and ceo ignored an offer from benioff above microsoft's $ billion purchase price  according to a fili'^2019-05-24^00:03:39^318"
"1131712341333217280^'which do you like better  microsoft or apple? -- crush ko poface savouring delicious food'^2019-05-24^00:03:43^152"
"1131712345896554497^'which do you like better  microsoft or apple? -- i'm an apple person all the way'^2019-05-24^00:03:44^709"
"1131712351072333824^'which do you like better  microsoft or apple? -- apple'^2019-05-24^00:03:45^764"
"1131712353031073794^'which do you like better  microsoft or apple? -- apple'^2019-05-24^00:03:45^364"
"1131712354742407168^'which do you like better  microsoft or apple? -- apple'^2019-05-24^00:03:46^8886"
"1131712362149552129^'rt : this is a massive mac app scam not just these apps  but the support link for these apps leads to a fake storefront for'^2019-05-24^00:03:47^140"
"1131712370974318595^'microsoft makes good games'^2019-05-24^00:03:50^24"
"1131712378830245889^'rt : me: *downloads pdf on chrome* microsoft edge:'^2019-05-24^00:03:51^232"
"1131712395104129026^'which do you like better  microsoft or apple? -- microsoft ~'^2019-05-24^00:03:55^254"
"1131712402343550977^'rt : when a company is in a state of transition between technologies for communication - ways engineers may attempt to contact'^2019-05-24^00:03:57^24"
"1131712420404183041^'which do you like better  microsoft or apple? -- apple'^2019-05-24^00:04:01^1170"
"1131712434094452737^'how about microsoft and surveillance capitalism?'^2019-05-24^00:04:05^186"
"1131712434576740352^'which do you like better  microsoft or apple? -- microsoft face with tears of joy'^2019-05-24^00:04:05^743"
"1131712446685732864^'which do you like better  microsoft or apple? -- apple upside-down face'^2019-05-24^00:04:08^227"
"1131712454101209088^'which do you like better  microsoft or apple? -- microsoft'^2019-05-24^00:04:09^237"
"1131712474124828673^'which do you like better  microsoft or apple? -- microsoft'^2019-05-24^00:04:14^672"
"1131712475068588032^'which do you like better  microsoft or apple? -- apple'^2019-05-24^00:04:14^1003"
"1131712478608580609^'just earned my st century learning design: real-world problem-solving and innovation on the microsoft educator community! you can check out free pd courses too `br'^2019-05-24^00:04:15^67"
"1131712484048625664^'rt : which do you like better  microsoft or apple? -- for gaming-microsoft but for every other thing it's definitely apple https'^2019-05-24^00:04:17^568"
"1131712484631633920^'which do you like better  microsoft or apple? -- why red apple? microsoft more better right thinking face'^2019-05-24^00:04:17^82"
"1131712494303682560^'which do you like better  microsoft or apple? -- microsoft'^2019-05-24^00:04:19^317"
"1131712494483980288^'which do you like better  microsoft or apple? -- tak reti nak compare bab ni'^2019-05-24^00:04:19^9394"
"1131712498556637184^'which do you like better  microsoft or apple? -- apple e o krl mermao'^2019-05-24^00:04:20^992"
"1131712504097325057^'rt : it will cost so much in south africa loudly crying face'^2019-05-24^00:04:21^0"
"1131712506802704384^'which do you like better  microsoft or apple? -- shut the fuck up'^2019-05-24^00:04:22^312"
"1131712512876056576^'which do you like better  microsoft or apple? -- microsoft mpt'^2019-05-24^00:04:23^456"
"1131712513966596102^'which do you like better  microsoft or apple? -- apple'^2019-05-24^00:04:24^283"
"1131712526385909764^'which do you like better  microsoft or apple? -- you heavy black heart[?]'^2019-05-24^00:04:27^288"
"1131712537991438336^'rt : we had a blast at our community kick-off event at last month! special thanks to our launch sponsor  '^2019-05-24^00:04:29^816"
"1131712543347494912^'fortunately  early investors thought like erik when they invested in apple  microsoft  dell'^2019-05-24^00:04:31^1781"
