"1130267636485505025^'i've only done the samsung galaxy vr before looks cool!'^2019-05-20^00:22:58^10"
"1130268072487608321^'rt : giveaway! i've partnered with to giveaway  oculus go vr headsets! if you want one it's simple  just retweet thi'^2019-05-20^00:24:42^401"
"1130268195309465600^'i would really love to win this thank you for the opportunity to do so!'^2019-05-20^00:25:11^401"
"1130268338272243712^'rt : giveaway! i've partnered with to giveaway  oculus go vr headsets! if you want one it's simple  just retweet thi'^2019-05-20^00:25:45^170"
"1130268415959195648^'i'm here because approves them'^2019-05-20^00:26:04^170"
"1130268543839137793^'giveaway giveaway!!!!'^2019-05-20^00:26:34^16"
"1130268555260260352^'rt : giveaway! i've partnered with to giveaway  oculus go vr headsets! if you want one it's simple  just retweet thi'^2019-05-20^00:26:37^16"
"1130268629021462530^'rt : giveaway! i've partnered with to giveaway  oculus go vr headsets! if you want one it's simple  just retweet thi'^2019-05-20^00:26:55^34"
"1130268840997380096^'rt : giveaway! i've partnered with to giveaway  oculus go vr headsets! if you want one it's simple  just retweet thi'^2019-05-20^00:27:45^68"
"1130268970898972672^'rt : giveaway! i've partnered with to giveaway  oculus go vr headsets! if you want one it's simple  just retweet thi'^2019-05-20^00:28:16^0"
"1130269105158799360^'i have never have a virtual reality headset  probably some of you'^2019-05-20^00:28:48^68"
"1130269209143984128^'rt : giveaway! i've partnered with to giveaway  oculus go vr headsets! if you want one it's simple  just retweet thi'^2019-05-20^00:29:13^2"
"1130269220112146432^'rt : giveaway! i've partnered with to giveaway  oculus go vr headsets! if you want one it's simple  just retweet thi'^2019-05-20^00:29:16^721"
"1130269289079017472^'thanks for hosting the giveaway  and good luck to all!'^2019-05-20^00:29:32^721"
"1130269294967832576^'this looks very cool'^2019-05-20^00:29:33^2"
"1130269890093486080^'rt : giveaway! i've partnered with to giveaway  oculus go vr headsets! if you want one it's simple  just retweet thi'^2019-05-20^00:31:55^29"
"1130270085971628034^'i wanted to try this out and the new oculus quest when it comes out'^2019-05-20^00:32:42^29"
