"1132077570307100673^'rt : new video! rt to be shoutout! spray painting his ferrari and tesla!!'^2019-05-25^00:15:00^1262"
"1132077574434238466^'rt : if you're not gonna hype me up like this when i buy my first tesla i don't want you in my life pleaseface with tears of joyface with tears of joyface with tears of joy'^2019-05-25^00:15:01^1025"
"1132077586576752640^'should i ask one of our other analysts to review it? we have a couple of analysts working on $tsla'^2019-05-25^00:15:04^760"
"1132077592260038657^'rt : this could be one of the coolest things to show tesla's ev dominance and the model growth $tsla'^2019-05-25^00:15:05^122"
"1132077592553504768^'rt : if you're not gonna hype me up like this when i buy my first tesla i don't want you in my life pleaseface with tears of joyface with tears of joyface with tears of joy'^2019-05-25^00:15:05^124"
"1132077594030092288^'rt : if you're not gonna hype me up like this when i buy my first tesla i don't want you in my life pleaseface with tears of joyface with tears of joyface with tears of joy'^2019-05-25^00:15:06^299"
"1132077596852621312^'rt : if you're not gonna hype me up like this when i buy my first tesla i don't want you in my life pleaseface with tears of joyface with tears of joyface with tears of joy'^2019-05-25^00:15:06^421"
"1132077603890896896^'rt : my son finds a bunch of crap in the garage he wants to sell at his third grade swap meet my daughter sees some of it'^2019-05-25^00:15:08^884"
"1132077606797479936^'i am an  year old highschool graduate  who has been interested in you and you company/ business management for years  the involvement you have with space x and tesla i am more interested in space x  i've dreaming of planning to go to space and helping people go there'^2019-05-25^00:15:09^0"
"1132077606843617280^'that's it i'm buying a tesla'^2019-05-25^00:15:09^543"
"1132077608806551552^'it is my dream to work for you  with either space x or tesla  after i figure out what funds i have and plan for college i would like to work for you sincerely~ ean masoner'^2019-05-25^00:15:09^0"
"1132077611822329863^'you'd think they'd at least hit them with a hose before shipping'^2019-05-25^00:15:10^328"
"1132077613961404416^'is an inventor friendly company? would you welcome new ideaselectric light bulb in regards to electric vehicles automobile'^2019-05-25^00:15:10^0"
"1132077625818656769^'rt : ""[tesla's autopilot] capabilities are limited if it can't detect the broad side of an -wheeler or keep the driver en'^2019-05-25^00:15:13^6572"
"1132077627043266560^'rt : the electrek article made clear it was employees deciding to cost cut by switching up the toilet paper negative spin en'^2019-05-25^00:15:13^229"
