"1114710639233179649^0^0^'rt : we released mrtk v with support for new hololens hand and eye input! in-editor simulation allows you to build  design  tes'^2019-04-07 02:05:01^2019-04-06 22:05:01^None^False^501^False^False^0.17045454545454544^0.45454545454545453"
"1114710644089995264^0^0^'blame microsoft they started it then sony and nintendo were like""shit we gotta cash in on that"" just wait microsoft will get more greedy and be like ""to play online on pc you gotta pay  bucks for the year or else no pc online for you!""'^2019-04-07 02:05:02^2019-04-06 22:05:02^None^False^123^False^False^0.2125^0.65"
"1114710651677573120^0^0^'rt : my brother found this og halo edition xbox at a local thrift shop lucky!!!! xbox microsoft thrifting halo'^2019-04-07 02:05:04^2019-04-06 22:05:04^None^False^3281^False^False^0.4069010416666666^0.4166666666666667"
"1114710652046708737^0^0^'rt thatmattwade: curious or confused about microsoft enterprise mobility + security options? check out the new table of ems to clear thin translated using microsoftflow'^2019-04-07 02:05:04^2019-04-06 22:05:04^None^False^388^False^False^-0.13272727272727272^0.6775757575757575"
"1114710652042588160^0^0^'march  security update release microsoft patch cybersecurity dataprivacy ransomwareprotection hacker ransomware malware phishing technology translated using microsoftflow translated using microsoftflow'^2019-04-07 02:05:04^2019-04-06 22:05:04^False^False^388^False^False^0.0^0.0"
"1114710652130611200^0^0^'""find out how the microsoft cloud equips organizations to empower care teams and digitally transform healthcare read the e-book: microsoft sante ght translated using microsoftflow translated using microsoftflow'^2019-04-07 02:05:04^2019-04-06 22:05:04^False^False^388^False^False^0.0^0.0"
"1114710652189323264^0^0^'how to keep up with microsoft's oct  surface event technews microsoft translated using microsoftflow translated using microsoftflow translated using microsoftflow'^2019-04-07 02:05:04^2019-04-06 22:05:04^False^False^388^False^False^0.0^0.0"
"1114710652243914752^0^0^'rt danielbastos: microsoft's cyber defense operations center shares best practices microsoft patch cybersecuri translated using microsoftflow translated using microsoftflow translated using microsoftflow translated using microsoftflow'^2019-04-07 02:05:04^2019-04-06 22:05:04^False^False^388^False^False^0.45^0.2"
"1114710652319412225^0^0^'rt danielbastos: march  security update release microsoft patch cybersecurity dataprivacy ransomwareprot translated using microsoftflow translated using microsoftflow translated using microsoftflow translated using microsoftflow'^2019-04-07 02:05:04^2019-04-06 22:05:04^False^False^388^False^False^0.0^0.0"
"1114710656064733185^0^0^'rt : i once did like this  siap pakai microsoft word and all the format face with tears of joyface with tears of joy'^2019-04-07 02:05:05^2019-04-06 22:05:05^False^False^90^False^False^0.8^0.2"
"1114710679058042880^0^0^'rt : '^2019-04-07 02:05:10^2019-04-06 22:05:10^None^False^37089^False^False^0.0^0.0"
"1114710682354638848^0^0^'rt : we released mrtk v with support for new hololens hand and eye input! in-editor simulation allows you to build  design  tes'^2019-04-07 02:05:11^2019-04-06 22:05:11^None^False^422^False^False^0.17045454545454544^0.45454545454545453"
"1114710698842447872^0^0^'rt : how to use in-editor input simulation:'^2019-04-07 02:05:15^2019-04-06 22:05:15^False^False^422^False^False^0.0^0.0"
"1114710720615026688^0^0^'rt : the intelligent future needs skills to help build it learn those skills today with the microsoft professional program in ai: h'^2019-04-07 02:05:20^2019-04-06 22:05:20^None^False^104^False^False^0.3^0.375"
"1114710770514837504^0^0^'xbox game pass ultimate rumored to merge microsoft's best gaming perksxbox game pass ultimate rumored to merge microsoft's best gaming perks'^2019-04-07 02:05:32^2019-04-06 22:05:32^False^False^3001^False^False^0.19999999999999998^0.5666666666666667"
"1114710786490994688^0^0^'rt : my improv team before we get the suggestion'^2019-04-07 02:05:36^2019-04-06 22:05:36^False^False^258^False^False^0.0^0.0"
"1114710795009634304^0^0^'rt : on this day   - microsoft releases windows '^2019-04-07 02:05:38^2019-04-06 22:05:38^True^False^74^False^False^0.0^0.0"
"1114710809190514692^0^0^'what does it mean if u set aside the day to study but instead u spent  hours trying to download microsoft'^2019-04-07 02:05:41^2019-04-06 22:05:41^None^False^598^False^False^-0.20625^0.39375"
"1114710858804924416^0^0^'rt : im crying did he microsoft paint the police statement? loool'^2019-04-07 02:05:53^2019-04-06 22:05:53^None^False^2995^False^False^-0.2^0.6"
"1114710878178480128^0^0^'rt : female employees are protesting microsoft's treatment of women'^2019-04-07 02:05:58^2019-04-06 22:05:58^False^False^758^False^False^0.0^0.16666666666666666"
"1114710887649173504^0^0^'rt : '^2019-04-07 02:06:00^2019-04-06 22:06:00^None^False^15342^False^False^0.0^0.0"
"1114710895609896960^0^0^'rt : taking peoples' lives is not a game :/ ""the whole experience felt natural to me  as i've played lots of first-person shoote'^2019-04-07 02:06:02^2019-04-06 22:06:02^None^False^3701^False^False^0.0625^0.5499999999999999"
"1114710978619412480^0^0^'rt : my improv team before we get the suggestion'^2019-04-07 02:06:22^2019-04-06 22:06:22^False^False^124^False^False^0.0^0.0"
"1114711004774952960^0^0^'rt : 'screwball' our new movie about arod and the biogenesis steroid scandal now available on itunes  amazon  vudu  sony  googl'^2019-04-07 02:06:28^2019-04-06 22:06:28^None^False^213^False^False^0.2681818181818182^0.42727272727272725"
"1114711009527308288^0^0^'rt : great write-up ! was a pleasure working with you datacentric innovation day! cybersecurity ai security i'^2019-04-07 02:06:29^2019-04-06 22:06:29^None^False^822^False^False^1.0^0.75"
"1114711017181855745^0^0^'visual studio community  had been delivered download it immediately microsoft visualstudio translated using microsoftflow'^2019-04-07 02:06:31^2019-04-06 22:06:31^None^False^388^False^False^0.0^0.0"
"1114711029965922304^0^0^'""ad:"" final fantasy xi online (microsoft xbox   ) in case with booklet fantasy: flyingtr'^2019-04-07 02:06:34^2019-04-06 22:06:34^False^False^34307^False^False^0.0^1.0"
"1114711031949873152^0^0^'the rapid rise and slow fall of the microsoft web browser - fast company'^2019-04-07 02:06:35^2019-04-06 22:06:35^False^False^1110^False^False^-0.05000000000000002^0.5"
"1114711083074359297^0^0^'rt : read it'^2019-04-07 02:06:47^2019-04-06 22:06:47^False^False^2668^False^False^0.0^0.0"
"1114711093853601792^0^0^'not acceptable  microsoft'^2019-04-07 02:06:49^2019-04-06 22:06:49^False^False^857^False^False^0.0^0.0"
"1114711142578810880^0^0^'rt : i was a tester for my first year at microsoft this reminds me a lot of that time smiling face with open mouth and tightly-closed'^2019-04-07 02:07:01^2019-04-06 22:07:01^False^False^474^False^False^0.125^0.41666666666666663"
"1114711148777967618^0^0^'microsoft confirms massive windows  upgrade changes'^2019-04-07 02:07:02^2019-04-06 22:07:02^False^False^2855^False^False^0.0^1.0"
"1114711168298434561^0^0^'well this is what it is like working with large marketing teams media companies    analytics churn agilemindercannabis ai'^2019-04-07 02:07:07^2019-04-06 22:07:07^False^False^1055^False^False^0.21428571428571427^0.42857142857142855"
"1114711198849748992^0^0^'rt : microsoft announces it will shut down ebook program and confiscate its customers' libraries https:/'^2019-04-07 02:07:14^2019-04-06 22:07:14^False^False^2912^False^False^-0.15555555555555559^0.2888888888888889"
"1114711268739485696^0^0^'rt : rd party drivers are a hotbed for privilege escalation vulnerabilities microsoft found one in a huawei driver  which'^2019-04-07 02:07:31^2019-04-06 22:07:31^None^False^36^False^False^0.0^0.0"
"1114711274259009536^0^0^'rt : we have released mrtk v (rc) with new hololens's articulated handtracking and eyetracking input support! explore bu'^2019-04-07 02:07:32^2019-04-06 22:07:32^None^False^1469^False^False^0.17045454545454544^0.45454545454545453"
"1114711294655864832^0^0^'rt : and it's easy to install in dosbox so you can relive the glory days'^2019-04-07 02:07:37^2019-04-06 22:07:37^False^False^744^False^False^0.43333333333333335^0.8333333333333334"
"1114711362335326208^0^0^'microsoft booming otay'^2019-04-07 02:07:53^2019-04-06 22:07:53^None^False^1018^False^False^0.0^0.0"
