"1115406234323226624^0^0^'hashtag lenovo ideapad s touch -inch laptop (intel core i-hq   '^2019-04-09 00:09:04^2019-04-08 20:09:04^False^False^141^False^False^0.0^0.0"
"1115406348664152064^0^0^'enter for a chance to win this nvidia rtx ti! sweepstakes giveaway originpcfamily graphicsreinvented'^2019-04-09 00:09:31^2019-04-08 20:09:31^False^False^5^False^False^1.0^0.4"
"1115406393819967490^0^0^'nvidia will probably come out with nm cards early next year and the new rtx series has an amazing encoder and a new rendering algorithm it focuses the picture quality on the most important parts of the screen to maximize clarity and fps as a streamer i recommend you upgrade'^2019-04-09 00:09:42^2019-04-08 20:09:42^None^False^56^False^False^0.2675324675324675^0.5155844155844156"
"1115406521674928128^0^0^'rt : earth globe americas [worldwide giveaway] earth globe americas we've launched an nvidia geforce rtx  ti giveaway with timmac and nvidia geforce! wrapped present: nvidia ge'^2019-04-09 00:10:12^2019-04-08 20:10:12^None^False^5^False^False^0.0^0.0"
"1115407046881546240^0^0^'rt : nvidia wants ai clara to be the ai platform for radiologists by'^2019-04-09 00:12:17^2019-04-08 20:12:17^False^False^65^False^False^0.2^0.1"
"1115407157883805696^0^0^'rt : earth globe americas [worldwide giveaway] earth globe americas we're launching an nvidia geforce rtx  ti giveaway with and ! wrapped present nv'^2019-04-09 00:12:44^2019-04-08 20:12:44^None^False^1317^False^False^0.0^0.0"
"1115407180411412480^0^0^'enter for a chance to win this nvidia rtx ti! sweepstakes giveaway originpcfamily graphicsreinvented'^2019-04-09 00:12:49^2019-04-08 20:12:49^False^False^1317^False^False^1.0^0.4"
"1115596501684633602^0^0^'evga finally launches their flagship geforce rtx  ti kingpin graphics card - an extreme overclockers dream pcb  hybrid cooling for $ us'^2019-04-09 12:45:07^2019-04-09 08:45:07^False^False^73^False^False^-0.0625^1.0"
"1115596745247997952^0^0^'x definitely starts up when i tell it to  because i could kill it by killalling xterm from another tty it is a laptop with both intel integrated and an nvidia discrete cards  so i'm sure some xorgconf will be required'^2019-04-09 12:46:05^2019-04-09 08:46:05^None^False^163^False^False^0.25^0.6944444444444444"
"1115596960394649600^0^0^'rt : earth globe americas [worldwide giveaway] earth globe americas we're launching an nvidia geforce rtx  ti giveaway with and ! wrapped present nv'^2019-04-09 12:46:56^2019-04-09 08:46:56^None^False^0^False^False^0.0^0.0"
"1115598459564851200^0^0^'jpmorgan chase co $jpm shareholder institute for wealth management lifted position by $ ; nvidia com $nvda stake held by ipg investment advisors llc'^2019-04-09 12:52:54^2019-04-09 08:52:54^False^False^114^False^False^0.0^0.0"
"1115598577118527488^0^0^'netapp financial services summit: nvidia and the benefits of ai/big data'^2019-04-09 12:53:22^2019-04-09 08:53:22^False^False^2237^False^False^0.0^0.0"
"1115598584269824001^0^0^'rt : earth globe americas [worldwide giveaway] earth globe americas we're launching an nvidia geforce rtx  ti giveaway with and ! wrapped present nv'^2019-04-09 12:53:23^2019-04-09 08:53:23^None^False^7^False^False^0.0^0.0"
"1115598614359764992^0^0^'enter for a chance to win this nvidia rtx ti! sweepstakes giveaway originpcfamily graphicsreinvented'^2019-04-09 12:53:31^2019-04-09 08:53:31^False^False^7^False^False^1.0^0.4"
"1115598910188183554^0^0^'large red circle [live] actually going to play a few games of firestorm nvidia stream later! television'^2019-04-09 12:54:41^2019-04-09 08:54:41^False^False^2478^False^False^0.025108225108225107^0.18809523809523812"
"1115608421963669504^0^0^'nvidia ceo ties ai-driven medical advances to data-driven leaps in every industry april    at :pm'^2019-04-09 13:32:29^2019-04-09 09:32:29^False^False^325^False^False^0.0^0.0"
"1115608437700812800^0^0^'cramer: setbacks in apple  nvidia  mccormick have been 'terrific' buying opportunities'^2019-04-09 13:32:33^2019-04-09 09:32:33^False^False^860^False^False^0.0^1.0"
"1115608730329014273^0^0^'rt : thanks for watching state of the realm! for those who missed it the podcast is giving away  rtx  gpus courtesy of '^2019-04-09 13:33:42^2019-04-09 09:33:42^None^False^1093^False^False^0.25^0.2"
"1115609065726459904^0^0^'rt : how to run  and  on an nvidia jetson nano board ($)  an arm cortex a processo'^2019-04-09 13:35:02^2019-04-09 09:35:02^False^False^185817^False^False^0.0^0.0"
